EventType,Timestamp,DeviceID,User  ID,Details,Value
2642,ОбновлениеПрограммногоОбеспечения,2023-10-06 01:57:47,Банкомат9,Пользователь76,Обновление ПО в Банкомат9,Не удалось
2643,ПроверкаКассеты,2023-10-06 01:59:15,Банкомат32,Пользователь47,Проверка состояния кассеты в Банкомат32,Нуждается в замене
2644,УстановкаОбновлений,2023-10-06 02:00:45,Банкомат37,Пользователь37,Установка обновлений в Банкомат37,Успешно
2645,ПроверкаСостоянияКлавиатуры,2023-10-06 02:03:48,Банкомат21,Пользователь63,Проверка состояния клавиатуры в Банкомат21,Клавиатура не работает
2646,ОшибкаПечати,2023-10-06 02:06:03,Банкомат55,Пользователь57,Ошибка печати в Банкомат55,Нет бумаги
2647,ПроверкаБаланс,2023-10-06 02:07:13,Банкомат65,Пользователь14,Проверка баланса пользователем Пользователь14 в Банкомат65,1593
2648,ТестированиеСистемы,2023-10-06 02:08:35,Банкомат64,Пользователь27,Тестирование системы в Банкомат64,Некоторые системы не работают
2649,ПроверкаКассеты,2023-10-06 02:12:55,Банкомат41,Пользователь85,Проверка состояния кассеты в Банкомат41,Нуждается в замене
2650,ОшибкаСети,2023-10-06 02:17:03,Банкомат30,Пользователь1,Ошибка сети в Банкомат30,Нет соединения
2651,ВнесениеНаличных,2023-10-06 02:22:03,Банкомат38,Пользователь66,Пользователь Пользователь66 внес 782 рублей в Банкомат38,782
2652,ОшибкаТехническая,2023-10-06 02:22:20,Банкомат98,Пользователь54,Техническая ошибка в Банкомат98,Ошибка связи
2653,ВходПользователя,2023-10-06 02:25:12,Банкомат90,Пользователь44,Пользователь Пользователь44 вошел в систему в Банкомат90,
2654,АварийноеВыключение,2023-10-06 02:26:01,Банкомат20,Пользователь49,Аварийное отключение устройства Банкомат20,Устройство отключено
2655,ОтказВОбслуживании,2023-10-06 02:28:14,Банкомат32,Пользователь84,Отказ в обслуживании в Банкомат32,Техническая ошибка
2656,ТестированиеУстройства,2023-10-06 02:33:01,Банкомат29,Пользователь64,Тестирование устройства Банкомат29 завершено,Успешно
2657,ТестированиеУстройства,2023-10-06 02:34:20,Банкомат57,Пользователь45,Тестирование устройства Банкомат57 завершено,Не удалось
2658,АварийноеВыключение,2023-10-06 02:35:22,Банкомат98,Пользователь23,Аварийное отключение устройства Банкомат98,Устройство отключено
2659,ОбновлениеБезопасности,2023-10-06 02:36:53,Банкомат5,Пользователь15,Обновление систем безопасности в Банкомат5,Успешно
2660,ОшибкаТехническая,2023-10-06 02:38:40,Банкомат79,Пользователь4,Техническая ошибка в Банкомат79,Ошибка питания
2661,ЗаменаКартриджа,2023-10-06 02:40:36,Банкомат51,Пользователь21,Замена картриджа в Банкомат51,Не удалось
2662,ПроверкаСостоянияКарт,2023-10-06 02:41:29,Банкомат98,Пользователь2,Проверка состояния карт в Банкомат98,Все карты в порядке
2663,ЗагрузкаПроцессораВысокая,2023-10-06 02:42:41,Банкомат93,Пользователь6,Высокая загрузка процессора в Банкомат93,98
2664,ПроверкаКассеты,2023-10-06 02:46:31,Банкомат94,Пользователь90,Проверка состояния кассеты в Банкомат94,Хорошее
2665,ВнесениеНаличных,2023-10-06 02:47:15,Банкомат37,Пользователь96,Пользователь Пользователь96 внес 975 рублей в Банкомат37,975
2666,ЗаменаКассеты,2023-10-06 02:48:34,Банкомат15,Пользователь46,Кассета заменена в Банкомат15,1488
2667,ОтказВОбслуживании,2023-10-06 02:49:07,Банкомат41,Пользователь52,Отказ в обслуживании в Банкомат41,Техническая ошибка
2668,ОтказВОбслуживании,2023-10-06 02:50:09,Банкомат32,Пользователь90,Отказ в обслуживании в Банкомат32,Техническая ошибка
2669,ПроверкаЭнергоснабжения,2023-10-06 02:53:20,Банкомат73,Пользователь43,Проверка состояния энергоснабжения в Банкомат73,Энергоснабжение в порядке
2670,Предупреждение,2023-10-06 02:57:49,Банкомат45,Пользователь16,Предупреждение в Банкомат45,Ошибка связи
2671,СигнализацияОшибки,2023-10-06 03:01:17,Банкомат85,Пользователь59,Сигнализация ошибки в Банкомат85,Ошибка связи
2672,ПроверкаОбновлений,2023-10-06 03:01:20,Банкомат92,Пользователь69,Проверка обновлений в Банкомат92,Обновления доступны
2673,ОшибкаСинхронизацииДанных,2023-10-06 03:02:24,Банкомат36,Пользователь84,Ошибка синхронизации данных в Банкомат36,Проблема с сетью
2674,ЗажеваннаяКупюра,2023-10-06 03:07:04,Банкомат53,Пользователь70,Купюра зажевана в Банкомат53,1000
2675,ПроверкаСостоянияПечати,2023-10-06 03:11:11,Банкомат63,Пользователь8,Проверка состояния печати в Банкомат63,Принтер работает
2676,ОжиданиеПользователя,2023-10-06 03:15:19,Банкомат90,Пользователь3,Ожидание действия от пользователя в Банкомат90,
2677,Предупреждение,2023-10-06 03:18:03,Банкомат41,Пользователь90,Предупреждение в Банкомат41,Низкий уровень наличных
2678,ВнесениеНаличных,2023-10-06 03:18:20,Банкомат5,Пользователь97,Пользователь Пользователь97 внес 696 рублей в Банкомат5,696
2679,ПроверкаСостоянияСвязи,2023-10-06 03:21:37,Банкомат54,Пользователь70,Проверка состояния связи в Банкомат54,Плохое
2680,СостояниеКартриджа,2023-10-06 03:24:28,Банкомат67,Пользователь91,Состояние картриджа проверено в Банкомат67,Пустой
2681,ЗажеваннаяКупюра,2023-10-06 03:27:24,Банкомат53,Пользователь77,Купюра зажевана в Банкомат53,100
2682,СнятиеНаличными,2023-10-06 03:31:20,Банкомат11,Пользователь28,Пользователь Пользователь28 снял 750 рублей с Банкомат11,750
2683,ТестированиеУстройства,2023-10-06 03:34:28,Банкомат11,Пользователь74,Тестирование устройства Банкомат11 завершено,Не удалось
2684,ПроверкаСостоянияСвязи,2023-10-06 03:38:06,Банкомат64,Пользователь67,Проверка состояния связи в Банкомат64,Хорошее
2685,ПроверкаОбновлений,2023-10-06 03:41:42,Банкомат56,Пользователь23,Проверка обновлений в Банкомат56,Обновления доступны
2686,ЗагрузкаПроцессораВысокая,2023-10-06 03:42:57,Банкомат80,Пользователь97,Высокая загрузка процессора в Банкомат80,97
2687,ЗаполнениеКассеты,2023-10-06 03:44:52,Банкомат5,Пользователь96,Кассета заполнена в Банкомат5,1711
2688,ОжиданиеПользователя,2023-10-06 03:47:24,Банкомат3,Пользователь91,Ожидание действия от пользователя в Банкомат3,
2689,ЗагрузкаПроцессораВысокая,2023-10-06 03:47:59,Банкомат84,Пользователь4,Высокая загрузка процессора в Банкомат84,96
2690,ОшибкаЖесткогоДиска,2023-10-06 03:50:51,Банкомат89,Пользователь86,Ошибка жесткого диска в Банкомат89,Ошибка чтения
2691,ЗаменаКартриджа,2023-10-06 03:55:16,Банкомат70,Пользователь92,Замена картриджа в Банкомат70,Не удалось
2692,ЗажеваннаяКупюра,2023-10-06 03:55:18,Банкомат96,Пользователь53,Купюра зажевана в Банкомат96,1000
2693,ЗавершениеТранзакции,2023-10-06 03:56:48,Банкомат24,Пользователь67,Транзакция завершена в Банкомат24,Успешно
2694,ПроверкаЖесткогоДиска,2023-10-06 03:57:03,Банкомат11,Пользователь65,Проверка жесткого диска в Банкомат11,39
2695,АварийноеВыключение,2023-10-06 03:58:12,Банкомат100,Пользователь35,Аварийное отключение устройства Банкомат100,Устройство отключено
2696,ПроверкаБаланс,2023-10-06 03:58:29,Банкомат39,Пользователь94,Проверка баланса пользователем Пользователь94 в Банкомат39,1208
2697,ЗагрузкаПроцессораВысокая,2023-10-06 04:00:34,Банкомат84,Пользователь3,Высокая загрузка процессора в Банкомат84,98
2698,ОжиданиеПользователя,2023-10-06 04:04:58,Банкомат61,Пользователь24,Ожидание действия от пользователя в Банкомат61,
2699,ОшибкаОбновления,2023-10-06 04:08:26,Банкомат25,Пользователь53,Ошибка обновления в Банкомат25,Ошибка совместимости
2700,ПроверкаЖесткогоДиска,2023-10-06 04:09:54,Банкомат93,Пользователь64,Проверка жесткого диска в Банкомат93,55
2701,ВосстановлениеСвязи,2023-10-06 04:12:19,Банкомат23,Пользователь34,Связь восстановлена в Банкомат23,
2702,ПроверкаСостоянияСвязи,2023-10-06 04:12:29,Банкомат88,Пользователь57,Проверка состояния связи в Банкомат88,Хорошее
2703,ВосстановлениеСвязи,2023-10-06 04:15:46,Банкомат87,Пользователь62,Связь восстановлена в Банкомат87,
2704,ОбновлениеПрограммногоОбеспечения,2023-10-06 04:17:36,Банкомат84,Пользователь96,Обновление ПО в Банкомат84,Успешно
2705,ОшибкаСинхронизацииДанных,2023-10-06 04:20:07,Банкомат37,Пользователь83,Ошибка синхронизации данных в Банкомат37,Проблема с сетью
2706,ПроверкаЭнергоснабжения,2023-10-06 04:20:39,Банкомат23,Пользователь19,Проверка состояния энергоснабжения в Банкомат23,Энергоснабжение в порядке
2707,ОбновлениеПрограммногоОбеспечения,2023-10-06 04:22:47,Банкомат31,Пользователь74,Обновление ПО в Банкомат31,Успешно
2708,СостояниеКартриджа,2023-10-06 04:22:48,Банкомат86,Пользователь53,Состояние картриджа проверено в Банкомат86,Полный
2709,ОшибкаЖесткогоДиска,2023-10-06 04:22:57,Банкомат36,Пользователь21,Ошибка жесткого диска в Банкомат36,Нет свободного места
2710,ОбработкаЗапроса,2023-10-06 04:26:38,Банкомат32,Пользователь21,Обработка запроса пользователя Пользователь21 в Банкомат32,
2711,ПроверкаЭнергоснабжения,2023-10-06 04:31:20,Банкомат44,Пользователь1,Проверка состояния энергоснабжения в Банкомат44,Проблемы с энергоснабжением
2712,ПроверкаСистемныхЛогов,2023-10-06 04:32:10,Банкомат29,Пользователь13,Проверка системных логов в Банкомат29,Найдены ошибки
2713,ОбработкаЗапроса,2023-10-06 04:36:27,Банкомат79,Пользователь60,Обработка запроса пользователя Пользователь60 в Банкомат79,
2714,ОбновлениеПрограммногоОбеспечения,2023-10-06 04:38:25,Банкомат91,Пользователь10,Обновление ПО в Банкомат91,Не удалось
2715,ОшибкаКарт,2023-10-06 04:41:44,Банкомат14,Пользователь35,Ошибка при считывании карты в Банкомат14,Карта повреждена
2716,Предупреждение,2023-10-06 04:46:31,Банкомат12,Пользователь89,Предупреждение в Банкомат12,Ошибка связи
2717,ОшибкаТехническая,2023-10-06 04:50:56,Банкомат29,Пользователь18,Техническая ошибка в Банкомат29,Ошибка связи
2718,ОбслуживаниеТребуется,2023-10-06 04:51:28,Банкомат64,Пользователь30,Требуется обслуживание Банкомат64,Профилактическое
2719,УстановкаОбновлений,2023-10-06 04:51:59,Банкомат9,Пользователь100,Установка обновлений в Банкомат9,Успешно
2720,ПроверкаСостоянияКлавиатуры,2023-10-06 04:53:21,Банкомат71,Пользователь4,Проверка состояния клавиатуры в Банкомат71,Клавиатура работает
2721,ЗагрузкаПроцессораВысокая,2023-10-06 04:57:52,Банкомат69,Пользователь34,Высокая загрузка процессора в Банкомат69,85
2722,ПроверкаСостоянияПечати,2023-10-06 05:02:48,Банкомат54,Пользователь59,Проверка состояния печати в Банкомат54,Принтер работает
2723,ЗагрузкаПроцессораВысокая,2023-10-06 05:05:56,Банкомат20,Пользователь70,Высокая загрузка процессора в Банкомат20,91
2724,ЗагрузкаПроцессораВысокая,2023-10-06 05:08:23,Банкомат9,Пользователь58,Высокая загрузка процессора в Банкомат9,84
2725,ПроверкаСостоянияСвязи,2023-10-06 05:08:33,Банкомат10,Пользователь85,Проверка состояния связи в Банкомат10,Хорошее
2726,ПроверкаСистемныхЛогов,2023-10-06 05:10:51,Банкомат63,Пользователь56,Проверка системных логов в Банкомат63,Ошибок не найдено
2727,СостояниеПриемаКупюр,2023-10-06 05:14:13,Банкомат21,Пользователь35,Состояние устройства приема купюр в Банкомат21 проверено,Работает
2728,ОшибкаТехническая,2023-10-06 05:16:07,Банкомат67,Пользователь90,Техническая ошибка в Банкомат67,Ошибка питания
2729,ПроблемаСоСвязью,2023-10-06 05:17:23,Банкомат72,Пользователь13,Проблема со связью в Банкомат72,Слабый сигнал
2730,ПроверкаОбновлений,2023-10-06 05:22:20,Банкомат18,Пользователь99,Проверка обновлений в Банкомат18,Обновления доступны
2731,ПроверкаСостоянияКлавиатуры,2023-10-06 05:27:11,Банкомат4,Пользователь93,Проверка состояния клавиатуры в Банкомат4,Клавиатура работает
2732,ВходПользователя,2023-10-06 05:29:16,Банкомат97,Пользователь60,Пользователь Пользователь60 вошел в систему в Банкомат97,
2733,ОтказВОбслуживании,2023-10-06 05:31:45,Банкомат52,Пользователь79,Отказ в обслуживании в Банкомат52,Нет наличных
2734,СостояниеПриемаКупюр,2023-10-06 05:34:46,Банкомат69,Пользователь65,Состояние устройства приема купюр в Банкомат69 проверено,Не работает
2735,ОшибкаПриемаКупюр,2023-10-06 05:36:31,Банкомат62,Пользователь9,Ошибка приема купюр в Банкомат62,Купюра зажевана
2736,ЗаменаКартриджа,2023-10-06 05:38:10,Банкомат6,Пользователь49,Замена картриджа в Банкомат6,Не удалось
2737,ПроверкаСистемныхЛогов,2023-10-06 05:42:27,Банкомат62,Пользователь69,Проверка системных логов в Банкомат62,Ошибок не найдено
2738,ПроверкаСостоянияСвязи,2023-10-06 05:45:14,Банкомат99,Пользователь35,Проверка состояния связи в Банкомат99,Хорошее
2739,ОшибкаСети,2023-10-06 05:47:02,Банкомат33,Пользователь44,Ошибка сети в Банкомат33,Нет соединения
2740,ОшибкаЖесткогоДиска,2023-10-06 05:49:07,Банкомат92,Пользователь89,Ошибка жесткого диска в Банкомат92,Нет свободного места
2741,ОжиданиеПользователя,2023-10-06 05:52:42,Банкомат69,Пользователь98,Ожидание действия от пользователя в Банкомат69,
2742,ПроверкаСостоянияПечати,2023-10-06 05:57:15,Банкомат15,Пользователь34,Проверка состояния печати в Банкомат15,Принтер работает
2743,ЗагрузкаПроцессораВысокая,2023-10-06 05:57:50,Банкомат13,Пользователь59,Высокая загрузка процессора в Банкомат13,99
2744,ЗажеваннаяКупюра,2023-10-06 05:58:53,Банкомат89,Пользователь53,Купюра зажевана в Банкомат89,500
2745,ОшибкаОбновления,2023-10-06 05:59:10,Банкомат84,Пользователь5,Ошибка обновления в Банкомат84,Ошибка совместимости
2746,ЗаменаКартриджа,2023-10-06 05:59:27,Банкомат87,Пользователь65,Замена картриджа в Банкомат87,Успешно
2747,ЗагрузкаПроцессораВысокая,2023-10-06 06:01:12,Банкомат20,Пользователь46,Высокая загрузка процессора в Банкомат20,88
2748,ОбработкаЗапроса,2023-10-06 06:03:47,Банкомат78,Пользователь30,Обработка запроса пользователя Пользователь30 в Банкомат78,
2749,ОшибкаКарт,2023-10-06 06:05:05,Банкомат96,Пользователь93,Ошибка при считывании карты в Банкомат96,Карта повреждена
2750,ОшибкаСинхронизацииДанных,2023-10-06 06:07:09,Банкомат31,Пользователь90,Ошибка синхронизации данных в Банкомат31,Проблема с сетью
2751,ПроблемаСоСвязью,2023-10-06 06:09:54,Банкомат74,Пользователь44,Проблема со связью в Банкомат74,Потеря соединения
2752,ВосстановлениеСвязи,2023-10-06 06:10:42,Банкомат77,Пользователь62,Связь восстановлена в Банкомат77,
2753,ПроверкаСистемныхЛогов,2023-10-06 06:10:46,Банкомат85,Пользователь48,Проверка системных логов в Банкомат85,Найдены ошибки
2754,ОшибкаТехническая,2023-10-06 06:15:00,Банкомат3,Пользователь40,Техническая ошибка в Банкомат3,Ошибка связи
2755,ВыходПользователя,2023-10-06 06:17:52,Банкомат22,Пользователь82,Пользователь Пользователь82 вышел из системы в Банкомат22,
2756,СигнализацияОшибки,2023-10-06 06:20:37,Банкомат87,Пользователь38,Сигнализация ошибки в Банкомат87,Ошибка механизма
2757,СнятиеНаличными,2023-10-06 06:25:20,Банкомат71,Пользователь93,Пользователь Пользователь93 снял 397 рублей с Банкомат71,397
2758,ВходПользователя,2023-10-06 06:27:43,Банкомат70,Пользователь95,Пользователь Пользователь95 вошел в систему в Банкомат70,
2759,ПроверкаКассеты,2023-10-06 06:27:57,Банкомат9,Пользователь75,Проверка состояния кассеты в Банкомат9,Хорошее
2760,ОшибкаПечати,2023-10-06 06:30:21,Банкомат2,Пользователь30,Ошибка печати в Банкомат2,Нет бумаги
2761,ЗажеваннаяКупюра,2023-10-06 06:34:32,Банкомат48,Пользователь95,Купюра зажевана в Банкомат48,100
2762,ЗаменаКартриджа,2023-10-06 06:36:28,Банкомат97,Пользователь25,Замена картриджа в Банкомат97,Не удалось
2763,ОтказВОбслуживании,2023-10-06 06:39:42,Банкомат4,Пользователь5,Отказ в обслуживании в Банкомат4,Нет наличных
2764,ОбслуживаниеТребуется,2023-10-06 06:42:05,Банкомат77,Пользователь50,Требуется обслуживание Банкомат77,Профилактическое
2765,ТестированиеСистемы,2023-10-06 06:44:29,Банкомат25,Пользователь64,Тестирование системы в Банкомат25,Все системы работают
2766,СигнализацияОшибки,2023-10-06 06:45:33,Банкомат52,Пользователь20,Сигнализация ошибки в Банкомат52,Ошибка связи
2767,ПроверкаСистемныхЛогов,2023-10-06 06:46:30,Банкомат59,Пользователь16,Проверка системных логов в Банкомат59,Ошибок не найдено
2768,ТестированиеСистемы,2023-10-06 06:51:14,Банкомат99,Пользователь80,Тестирование системы в Банкомат99,Некоторые системы не работают
2769,ОжиданиеПользователя,2023-10-06 06:52:54,Банкомат18,Пользователь22,Ожидание действия от пользователя в Банкомат18,
2770,СигнализацияОшибки,2023-10-06 06:55:25,Банкомат66,Пользователь14,Сигнализация ошибки в Банкомат66,Ошибка механизма
2771,УстановкаОбновлений,2023-10-06 06:58:24,Банкомат35,Пользователь30,Установка обновлений в Банкомат35,Не удалось
2772,ОжиданиеПользователя,2023-10-06 07:00:00,Банкомат73,Пользователь8,Ожидание действия от пользователя в Банкомат73,
2773,ВосстановлениеСвязи,2023-10-06 07:04:44,Банкомат45,Пользователь51,Связь восстановлена в Банкомат45,
2774,ВнесениеНаличных,2023-10-06 07:04:57,Банкомат37,Пользователь27,Пользователь Пользователь27 внес 533 рублей в Банкомат37,533
2775,ОбновлениеПрограммногоОбеспечения,2023-10-06 07:06:21,Банкомат27,Пользователь76,Обновление ПО в Банкомат27,Успешно
2776,ОшибкаОбновления,2023-10-06 07:08:43,Банкомат53,Пользователь18,Ошибка обновления в Банкомат53,Ошибка сети
2777,ВыходПользователя,2023-10-06 07:09:00,Банкомат14,Пользователь45,Пользователь Пользователь45 вышел из системы в Банкомат14,
2778,СнятиеНаличными,2023-10-06 07:13:55,Банкомат31,Пользователь43,Пользователь Пользователь43 снял 142 рублей с Банкомат31,142
2779,ПроблемаСоСвязью,2023-10-06 07:17:54,Банкомат19,Пользователь62,Проблема со связью в Банкомат19,Потеря соединения
2780,ТестированиеУстройства,2023-10-06 07:21:04,Банкомат24,Пользователь31,Тестирование устройства Банкомат24 завершено,Успешно
2781,СнятиеНаличными,2023-10-06 07:24:38,Банкомат54,Пользователь96,Пользователь Пользователь96 снял 195 рублей с Банкомат54,195
2782,СостояниеПриемаКупюр,2023-10-06 07:28:09,Банкомат95,Пользователь54,Состояние устройства приема купюр в Банкомат95 проверено,Не работает
2783,ПроверкаСостоянияКарт,2023-10-06 07:32:51,Банкомат91,Пользователь75,Проверка состояния карт в Банкомат91,Некоторые карты повреждены
2784,ЗагрузкаПроцессораВысокая,2023-10-06 07:37:35,Банкомат63,Пользователь1,Высокая загрузка процессора в Банкомат63,92
2785,СостояниеПриемаКупюр,2023-10-06 07:39:49,Банкомат34,Пользователь97,Состояние устройства приема купюр в Банкомат34 проверено,Не работает
2786,СбросНастроек,2023-10-06 07:43:30,Банкомат56,Пользователь5,Сброс настроек в Банкомат56,Настройки сброшены
2787,ОшибкаОбновления,2023-10-06 07:47:52,Банкомат76,Пользователь9,Ошибка обновления в Банкомат76,Ошибка совместимости
2788,ПроблемаСоСвязью,2023-10-06 07:49:25,Банкомат63,Пользователь3,Проблема со связью в Банкомат63,Потеря соединения
2789,ТестированиеСистемы,2023-10-06 07:51:09,Банкомат87,Пользователь48,Тестирование системы в Банкомат87,Некоторые системы не работают
2790,ОбновлениеПрограммногоОбеспечения,2023-10-06 07:55:44,Банкомат70,Пользователь72,Обновление ПО в Банкомат70,Успешно
2791,ОшибкаОбновления,2023-10-06 07:55:45,Банкомат39,Пользователь61,Ошибка обновления в Банкомат39,Ошибка совместимости
2792,ОжиданиеПользователя,2023-10-06 07:55:52,Банкомат15,Пользователь71,Ожидание действия от пользователя в Банкомат15,
2793,ВходПользователя,2023-10-06 07:59:26,Банкомат30,Пользователь26,Пользователь Пользователь26 вошел в систему в Банкомат30,
2794,ЗажеваннаяКупюра,2023-10-06 08:00:18,Банкомат48,Пользователь7,Купюра зажевана в Банкомат48,100
2795,ОшибкаКарт,2023-10-06 08:02:32,Банкомат4,Пользователь81,Ошибка при считывании карты в Банкомат4,Карта повреждена
2796,СбросНастроек,2023-10-06 08:04:29,Банкомат65,Пользователь68,Сброс настроек в Банкомат65,Настройки сброшены
2797,ЗаменаКассеты,2023-10-06 08:09:26,Банкомат96,Пользователь26,Кассета заменена в Банкомат96,1561
2798,ЗавершениеТранзакции,2023-10-06 08:13:59,Банкомат76,Пользователь82,Транзакция завершена в Банкомат76,Успешно
2799,Предупреждение,2023-10-06 08:14:09,Банкомат51,Пользователь34,Предупреждение в Банкомат51,Низкий уровень наличных
2800,ПроверкаСостоянияПечати,2023-10-06 08:14:56,Банкомат8,Пользователь7,Проверка состояния печати в Банкомат8,Принтер работает
2801,УстановкаОбновлений,2023-10-06 08:16:07,Банкомат28,Пользователь61,Установка обновлений в Банкомат28,Успешно
2802,ЗавершениеТранзакции,2023-10-06 08:17:57,Банкомат91,Пользователь2,Транзакция завершена в Банкомат91,Не удалось
2803,УстановкаОбновлений,2023-10-06 08:20:21,Банкомат78,Пользователь18,Установка обновлений в Банкомат78,Успешно
2804,ОбновлениеБезопасности,2023-10-06 08:22:46,Банкомат2,Пользователь38,Обновление систем безопасности в Банкомат2,Не удалось
2805,ПроверкаОбновлений,2023-10-06 08:25:59,Банкомат40,Пользователь34,Проверка обновлений в Банкомат40,Обновления отсутствуют
2806,ОбновлениеБезопасности,2023-10-06 08:26:08,Банкомат19,Пользователь53,Обновление систем безопасности в Банкомат19,Не удалось
2807,ЗаполнениеКассеты,2023-10-06 08:31:05,Банкомат80,Пользователь100,Кассета заполнена в Банкомат80,1320
2808,ОшибкаОбновления,2023-10-06 08:32:39,Банкомат44,Пользователь34,Ошибка обновления в Банкомат44,Ошибка совместимости
2809,ВходПользователя,2023-10-06 08:35:43,Банкомат17,Пользователь100,Пользователь Пользователь100 вошел в систему в Банкомат17,
2810,ПроверкаСистемныхЛогов,2023-10-06 08:39:35,Банкомат77,Пользователь85,Проверка системных логов в Банкомат77,Найдены ошибки
2811,СигнализацияОшибки,2023-10-06 08:41:28,Банкомат78,Пользователь52,Сигнализация ошибки в Банкомат78,Ошибка связи
2812,ВнесениеНаличных,2023-10-06 08:43:49,Банкомат53,Пользователь84,Пользователь Пользователь84 внес 172 рублей в Банкомат53,172
2813,ПроверкаЭнергоснабжения,2023-10-06 08:46:26,Банкомат44,Пользователь70,Проверка состояния энергоснабжения в Банкомат44,Энергоснабжение в порядке
2814,ЗаполнениеКассеты,2023-10-06 08:50:28,Банкомат40,Пользователь56,Кассета заполнена в Банкомат40,1646
2815,ПерезагрузкаУстройства,2023-10-06 08:55:09,Банкомат79,Пользователь51,Устройство Банкомат79 перезагружено,
2816,ВыходПользователя,2023-10-06 08:57:49,Банкомат65,Пользователь83,Пользователь Пользователь83 вышел из системы в Банкомат65,
2817,ЗавершениеТранзакции,2023-10-06 09:02:01,Банкомат83,Пользователь40,Транзакция завершена в Банкомат83,Не удалось
2818,УстановкаОбновлений,2023-10-06 09:04:27,Банкомат78,Пользователь14,Установка обновлений в Банкомат78,Успешно
2819,ОбновлениеПрограммногоОбеспечения,2023-10-06 09:04:28,Банкомат69,Пользователь22,Обновление ПО в Банкомат69,Не удалось
2820,ЗаполнениеКассеты,2023-10-06 09:08:56,Банкомат87,Пользователь7,Кассета заполнена в Банкомат87,1132
2821,ПроблемаСоСвязью,2023-10-06 09:10:33,Банкомат54,Пользователь70,Проблема со связью в Банкомат54,Слабый сигнал
2822,СостояниеПриемаКупюр,2023-10-06 09:11:09,Банкомат19,Пользователь34,Состояние устройства приема купюр в Банкомат19 проверено,Не работает
2823,ВосстановлениеСвязи,2023-10-06 09:13:18,Банкомат23,Пользователь4,Связь восстановлена в Банкомат23,
2824,ТестированиеУстройства,2023-10-06 09:17:41,Банкомат78,Пользователь45,Тестирование устройства Банкомат78 завершено,Успешно
2825,СостояниеУстройстваИзменено,2023-10-06 09:20:14,Банкомат77,Пользователь41,Состояние устройства Банкомат77 изменилось,Закрыто
2826,СостояниеПриемаКупюр,2023-10-06 09:23:53,Банкомат18,Пользователь91,Состояние устройства приема купюр в Банкомат18 проверено,Не работает
2827,ВходПользователя,2023-10-06 09:27:41,Банкомат32,Пользователь85,Пользователь Пользователь85 вошел в систему в Банкомат32,
2828,Предупреждение,2023-10-06 09:28:35,Банкомат90,Пользователь77,Предупреждение в Банкомат90,Ошибка связи
2829,ОшибкаКарт,2023-10-06 09:33:29,Банкомат24,Пользователь94,Ошибка при считывании карты в Банкомат24,Карта повреждена
2830,ОтказВОбслуживании,2023-10-06 09:34:37,Банкомат82,Пользователь36,Отказ в обслуживании в Банкомат82,Техническая ошибка
2831,СостояниеПриемаКупюр,2023-10-06 09:37:59,Банкомат24,Пользователь56,Состояние устройства приема купюр в Банкомат24 проверено,Не работает
2832,ВнесениеНаличных,2023-10-06 09:41:25,Банкомат24,Пользователь14,Пользователь Пользователь14 внес 635 рублей в Банкомат24,635
2833,ОшибкаВыдачиНаличности,2023-10-06 09:46:24,Банкомат39,Пользователь89,Ошибка выдачи наличности в Банкомат39,Ошибка механизма
2834,ОбновлениеПрограммногоОбеспечения,2023-10-06 09:47:43,Банкомат25,Пользователь81,Обновление ПО в Банкомат25,Успешно
2835,ОбслуживаниеТребуется,2023-10-06 09:50:54,Банкомат39,Пользователь73,Требуется обслуживание Банкомат39,Профилактическое
2836,ОтказВОбслуживании,2023-10-06 09:54:40,Банкомат48,Пользователь65,Отказ в обслуживании в Банкомат48,Нет наличных
2837,ОтказВОбслуживании,2023-10-06 09:56:11,Банкомат75,Пользователь90,Отказ в обслуживании в Банкомат75,Техническая ошибка
2838,ПроверкаСостоянияКарт,2023-10-06 09:59:08,Банкомат33,Пользователь27,Проверка состояния карт в Банкомат33,Некоторые карты повреждены
2839,ПроверкаСостоянияКарт,2023-10-06 10:00:50,Банкомат45,Пользователь54,Проверка состояния карт в Банкомат45,Все карты в порядке
2840,ВходПользователя,2023-10-06 10:03:00,Банкомат28,Пользователь60,Пользователь Пользователь60 вошел в систему в Банкомат28,
2841,ОшибкаТехническая,2023-10-06 10:04:20,Банкомат51,Пользователь27,Техническая ошибка в Банкомат51,Ошибка связи
2842,ПроверкаКассеты,2023-10-06 10:07:00,Банкомат94,Пользователь6,Проверка состояния кассеты в Банкомат94,Хорошее
2843,СостояниеПриемаКупюр,2023-10-06 10:07:02,Банкомат47,Пользователь20,Состояние устройства приема купюр в Банкомат47 проверено,Не работает
2844,ТестированиеСистемы,2023-10-06 10:07:04,Банкомат75,Пользователь12,Тестирование системы в Банкомат75,Все системы работают
2845,ВыходПользователя,2023-10-06 10:09:41,Банкомат50,Пользователь71,Пользователь Пользователь71 вышел из системы в Банкомат50,
2846,ОшибкаСинхронизацииДанных,2023-10-06 10:13:15,Банкомат23,Пользователь5,Ошибка синхронизации данных в Банкомат23,Неверные данные
2847,ОшибкаВыдачиНаличности,2023-10-06 10:17:25,Банкомат98,Пользователь14,Ошибка выдачи наличности в Банкомат98,Купюры отсутствуют
2848,ОшибкаВыдачиНаличности,2023-10-06 10:19:19,Банкомат33,Пользователь13,Ошибка выдачи наличности в Банкомат33,Купюры отсутствуют
